Id,Genre,Artist,Song,Listeners,URL
2019-04-16 22:48:41.431182_1,pop,Oasis,Wonderwall,1878153,https://www.last.fm/music/Oasis/_/Wonderwall
2019-04-16 22:48:41.597582_2,pop,The Killers,Somebody Told Me,1654089,https://www.last.fm/music/The+Killers/_/Somebody+Told+Me
2019-04-16 22:48:41.891554_3,pop,Coldplay,Viva la Vida,1637523,https://www.last.fm/music/Coldplay/_/Viva+la+Vida
2019-04-16 22:48:42.043536_4,pop,Coldplay,Clocks,1615836,https://www.last.fm/music/Coldplay/_/Clocks
2019-04-16 22:48:42.262349_5,pop,Coldplay,The Scientist,1607673,https://www.last.fm/music/Coldplay/_/The+Scientist
2019-04-16 22:48:42.423838_6,pop,MGMT,Kids,1587041,https://www.last.fm/music/MGMT/_/Kids
2019-04-16 22:48:42.581115_7,pop,Coldplay,Yellow,1573056,https://www.last.fm/music/Coldplay/_/Yellow
2019-04-16 22:48:42.730847_8,pop,Coldplay,Fix You,1493265,https://www.last.fm/music/Coldplay/_/Fix+You
2019-04-16 22:48:42.887784_9,pop,Gorillaz,Feel Good Inc.,1493044,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
2019-04-16 22:48:43.042184_10,pop,Lady Gaga,Poker Face,1443981,https://www.last.fm/music/Lady+Gaga/_/Poker+Face
2019-04-16 22:48:43.193089_11,pop,Snow Patrol,Chasing Cars,1386242,https://www.last.fm/music/Snow+Patrol/_/Chasing+Cars
2019-04-16 22:48:43.346511_12,pop,Ke$ha,TiK ToK,1329947,https://www.last.fm/music/Ke$ha/_/TiK+ToK
2019-04-16 22:48:43.635153_13,pop,Goo Goo Dolls,Iris,1306919,https://www.last.fm/music/Goo+Goo+Dolls/_/Iris
2019-04-16 22:48:43.936932_14,pop,Jason Mraz,I'm Yours,1285137,https://www.last.fm/music/Jason+Mraz/_/I%27m+Yours
2019-04-16 22:48:44.093076_15,pop,Adele,Rolling in the Deep,1252856,https://www.last.fm/music/Adele/_/Rolling+in+the+Deep
2019-04-16 22:48:44.420501_16,pop,Gorillaz,Clint Eastwood,1234014,https://www.last.fm/music/Gorillaz/_/Clint+Eastwood
2019-04-16 22:48:44.604008_17,pop,Foster the People,Pumped Up Kicks,1230181,https://www.last.fm/music/Foster+the+People/_/Pumped+Up+Kicks
2019-04-16 22:48:44.890930_18,pop,Michael Jackson,Billie Jean,1215483,https://www.last.fm/music/Michael+Jackson/_/Billie+Jean
2019-04-16 22:48:45.048933_19,pop,R.E.M.,Losing My Religion,1198163,https://www.last.fm/music/R.E.M./_/Losing+My+Religion
2019-04-16 22:48:45.265615_20,pop,Katy Perry,I Kissed a Girl,1195771,https://www.last.fm/music/Katy+Perry/_/I+Kissed+a+Girl
2019-04-16 22:48:45.418445_21,pop,Amy Winehouse,Rehab,1181382,https://www.last.fm/music/Amy+Winehouse/_/Rehab
2019-04-16 22:48:45.581058_22,pop,The Killers,Smile Like You Mean It,1175591,https://www.last.fm/music/The+Killers/_/Smile+Like+You+Mean+It
2019-04-16 22:48:45.802903_23,pop,The Verve,Bitter Sweet Symphony,1166438,https://www.last.fm/music/The+Verve/_/Bitter+Sweet+Symphony
2019-04-16 22:48:46.102619_24,pop,Amy Winehouse,Back to Black,1162709,https://www.last.fm/music/Amy+Winehouse/_/Back+to+Black
2019-04-16 22:48:46.257377_25,pop,a-ha,Take on Me,1154125,https://www.last.fm/music/a-ha/_/Take+on+Me
2019-04-16 22:48:46.411483_26,pop,M.I.A.,Paper Planes,1143835,https://www.last.fm/music/M.I.A./_/Paper+Planes
2019-04-16 22:48:46.563201_27,pop,The Fray,How to Save a Life,1142705,https://www.last.fm/music/The+Fray/_/How+to+Save+a+Life
2019-04-16 22:48:46.716033_28,pop,Coldplay,Don't Panic,1140927,https://www.last.fm/music/Coldplay/_/Don%27t+Panic
2019-04-16 22:48:46.943917_29,pop,Lady Gaga,Bad Romance,1140580,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance
2019-04-16 22:48:47.101504_30,pop,Maroon 5,She Will Be Loved,1129700,https://www.last.fm/music/Maroon+5/_/She+Will+Be+Loved
2019-04-16 22:48:47.257117_31,pop,Florence + the Machine,Dog Days Are Over,1129375,https://www.last.fm/music/Florence+%252B+the+Machine/_/Dog+Days+Are+Over
2019-04-16 22:48:47.412034_32,pop,The Postal Service,Such Great Heights,1117928,https://www.last.fm/music/The+Postal+Service/_/Such+Great+Heights
2019-04-16 22:48:47.654682_33,pop,Coldplay,In My Place,1116217,https://www.last.fm/music/Coldplay/_/In+My+Place
2019-04-16 22:48:47.889268_34,pop,Coldplay,Trouble,1114302,https://www.last.fm/music/Coldplay/_/Trouble
2019-04-16 22:48:48.039403_35,pop,Gnarls Barkley,Crazy,1109377,https://www.last.fm/music/Gnarls+Barkley/_/Crazy
